"star_programs","program","specialty"
"Baylor College of Medicine_Anesthesiology","Baylor College of Medicine","Anesthesiology"
"Beth Israel Deaconess Medical Center/Harvard Medical School_Anesthesiology","Beth Israel Deaconess Medical Center/Harvard Medical School","Anesthesiology"
"Duke University Hospital_Anesthesiology","Duke University Hospital","Anesthesiology"
"Massachusetts General Hospital/Harvard Medical School_Anesthesiology","Massachusetts General Hospital/Harvard Medical School","Anesthesiology"
"Texas A&M College of Medicine-Scott and White_Anesthesiology","Texas A&M College of Medicine-Scott and White","Anesthesiology"
"University of Alabama Medical Center_Anesthesiology","University of Alabama Medical Center","Anesthesiology"
"University of Michigan_Anesthesiology","University of Michigan","Anesthesiology"
"University of Texas Health Science Center at Houston_Anesthesiology","University of Texas Health Science Center at Houston","Anesthesiology"
"University of Texas Health Science Center School of Medicine at San Antonio_Anesthesiology","University of Texas Health Science Center School of Medicine at San Antonio","Anesthesiology"
"University of Texas Medical Branch Hospitals_Anesthesiology","University of Texas Medical Branch Hospitals","Anesthesiology"
"University of Texas Southwestern Medical School_Anesthesiology","University of Texas Southwestern Medical School","Anesthesiology"
"Vanderbilt University Medical Center_Anesthesiology","Vanderbilt University Medical Center","Anesthesiology"
"Brigham and Women's Hospital/Harvard Medical School_Anesthesiology","Brigham and Women's Hospital/Harvard Medical School","Anesthesiology"
"Emory University School of Medicine_Anesthesiology","Emory University School of Medicine","Anesthesiology"
"Icahn School of Medicine at Mount Sinai_Anesthesiology","Icahn School of Medicine at Mount Sinai","Anesthesiology"
"Icahn School of Medicine at Mount Sinai (St Luke's-Roosevelt Hospital Center)_Anesthesiology","Icahn School of Medicine at Mount Sinai (St Luke's-Roosevelt Hospital Center)","Anesthesiology"
"Loyola University_Anesthesiology","Loyola University","Anesthesiology"
"McGaw Medical Center of Northwestern University_Anesthesiology","McGaw Medical Center of Northwestern University","Anesthesiology"
"New York Presbyterian Hospital (Columbia Campus)_Anesthesiology","New York Presbyterian Hospital (Columbia Campus)","Anesthesiology"
"New York Presbyterian Hospital (Cornell Campus)_Anesthesiology","New York Presbyterian Hospital (Cornell Campus)","Anesthesiology"
"New York University School of Medicine_Anesthesiology","New York University School of Medicine","Anesthesiology"
"Rush University Medical Center_Anesthesiology","Rush University Medical Center","Anesthesiology"
"Sidney Kimmel Medical College at Thomas Jefferson University/TJUH_Anesthesiology","Sidney Kimmel Medical College at Thomas Jefferson University/TJUH","Anesthesiology"
"Stanford University_Anesthesiology","Stanford University","Anesthesiology"
"University of California (San Diego)_Anesthesiology","University of California (San Diego)","Anesthesiology"
"University of California (San Francisco)_Anesthesiology","University of California (San Francisco)","Anesthesiology"
"University of Chicago_Anesthesiology","University of Chicago","Anesthesiology"
"University of Illinois College of Medicine at Chicago_Anesthesiology","University of Illinois College of Medicine at Chicago","Anesthesiology"
"University of Pennsylvania_Anesthesiology","University of Pennsylvania","Anesthesiology"
